marca,modelo,ano,km,preco_eur,combustivel,transmissao,condicao,localizacao,data_anuncio,url,titulo,imagem_url,pagina_origem,recolhido_em
BMW,840 d,2019.0,130000.0,79900.0,,,,Oliveira do Douro,Hoje às 22:05,https://www.standvirtual.com/carros/anuncio/bmw-840-d-xdrive-pack-m-pro-ID8PVBmF.html,BMW 840 d xDrive Pack M Pro,,10,2026-06-21 23:46
BMW,X1 20,2017.0,200000.0,16999.0,,,,Viseu,Hoje às 18:21,https://www.standvirtual.com/carros/anuncio/bmw-x1-20-d-xdrive-line-sport-ID8PZTmI.html,BMW X1 20 d xDrive Line Sport,,10,2026-06-21 23:46
BMW,320d coupé,2009.0,280000.0,10500.0,,,,Quinta do Conde,Para o topo hoje às 15:05,https://www.olx.pt/d/anuncio/bmw-320d-coup-IDJspYX.html?search_reason=search%7Cpromoted,Bmw 320d coupé,,10,2026-06-21 23:46
BMW,123D Pack,2008.0,246000.0,12500.0,,,,Alhos Vedros,Para o topo hoje às 18:57,https://www.olx.pt/d/anuncio/bmw-123d-pack-m-2-0-biturbo-possibilidade-de-financiamento-IDJrZTH.html?search_reason=search%7Cpromoted,BMW 123D Pack M 2.0 Biturbo (possibilidade de financiamento),,10,2026-06-21 23:46
BMW,420d Coupe,2015.0,225000.0,23490.0,,,,"Aver-O-Mar, Amorim E Terroso",Para o topo a 19 de junho de 2026,https://www.olx.pt/d/anuncio/bmw-420d-coupe-auto-look-m4-desde-325-ms-IDJrnKs.html?search_reason=search%7Cpromoted,BMW 420d Coupe Auto Look M4 - Desde 325€ Mês,,10,2026-06-21 23:46
BMW,335 d,2008.0,155000.0,20900.0,,,,Matosinhos E Leça Da Palmeira,Para o topo a 19 de junho de 2026,https://www.standvirtual.com/carros/anuncio/bmw-335-d-dpf-aut-edition-sport-ID8Q0mz9.html,BMW 335 d DPF Aut. Edition Sport,,10,2026-06-21 23:46
BMW,520D pack,2011.0,230000.0,11000.0,,,,Corroios,20 de junho de 2026,https://www.olx.pt/d/anuncio/bmw-520d-pack-m-nacional-IDJbH9d.html?search_reason=search%7Corganic,BMW  520D pack M nacional,,10,2026-06-21 23:46
BMW,320 d,2013.0,178276.0,13990.0,,,,Braga,19 de junho de 2026,https://www.standvirtual.com/carros/anuncio/bmw-320-d-auto-pack-m-ID8Q0ANR.html,BMW 320 d Auto Pack M,,10,2026-06-21 23:46
BMW,X1 25,2021.0,76000.0,23990.0,,,,Maia,Para o topo hoje às 20:00,https://www.standvirtual.com/carros/anuncio/bmw-x1-25-e-xdrive-line-sport-ID8Q0qER.html,BMW X1 25 e xDrive Line Sport,,10,2026-06-21 23:46
BMW,418 Gran,2016.0,232439.0,16900.0,,,,Avenidas Novas,Para o topo a 20 de junho de 2026,https://www.standvirtual.com/carros/anuncio/bmw-418-gran-coup-d-line-luxury-ID8Q0u86.html,BMW 418 Gran Coupé d Line Luxury,,10,2026-06-21 23:46
